ns_call	ns_s2m	ns_m2s
68	46	48	359	347
30	46	47	349	349
32	47	48	348	347
32	46	47	349	350
31	46	47	350	347
31	47	47	350	349
32	47	47	348	347
31	45	47	350	347
32	46	46	347	346
31	46	47	349	350
32	47	46	346	345
31	47	47	351	348
33	46	46	348	347
32	48	47	348	349
32	47	47	347	345
30	47	46	348	349
32	46	48	349	347
31	47	46	348	348
32	46	47	348	346
31	46	46	350	351
32	47	46	347	349
31	46	46	349	349
32	45	46	347	347
31	47	47	350	349
32	46	47	350	347
31	45	47	348	349
32	48	46	349	347
30	46	47	348	347
31	48	48	346	346
31	46	46	349	348
31	47	45	347	347
30	47	45	348	349
32	47	46	345	348
31	46	47	353	350
32	47	47	348	346
31	47	46	349	350
33	46	46	350	347
31	47	48	350	349
32	46	46	348	348
32	46	47	348	348
32	47	46	347	347
30	47	46	349	349
32	47	47	347	345
31	47	47	349	348
32	46	45	347	348
31	46	46	348	349
32	46	47	347	346
31	47	46	348	349
31	46	47	350	348
31	47	46	348	351
